2[Wed, 30 Mar 2011 09:12:43 GMT] [info] [<0.31.0>] Apache CouchDB has started on http://127.0.0.1:5001/
[Wed, 30 Mar 2011 10:06:17 GMT] [info] [<0.3427.0>] 127.0.0.1 - - 'GET' /global_node/first_doc_created_at_node2?open_revs=["1-f9568181fb176123bc17916787433c1d"]&revs=true&latest=true&att_encoding_info=true 200

[Wed, 30 Mar 2011 10:06:22 GMT] [info] [<0.2518.0>] recording a checkpoint for http://127.0.0.1:5002/reg_node/ -> global_node at source update_seq 3

[Wed, 30 Mar 2011 10:06:22 GMT] [info] [<0.3428.0>] 127.0.0.1 - - 'POST' /global_node/_ensure_full_commit?seq=3 201

[Wed, 30 Mar 2011 10:06:22 GMT] [info] [<0.2555.0>] recording a checkpoint for http://127.0.0.1:5003/reg_node/ -> global_node at source update_seq 3

[Wed, 30 Mar 2011 10:06:22 GMT] [info] [<0.3440.0>] 127.0.0.1 - - 'PUT' /global_node/_local%2F54413037a7c66b9b1f1a6b3fb741453d 201

[Wed, 30 Mar 2011 10:06:55 GMT] [info] [<0.3444.0>] 127.0.0.1 - - 'GET' /global_node/second_doc_created_at_node2?open_revs=["1-3e923294d50112fdc024b43c0550e451"]&revs=true&latest=true&att_encoding_info=true 200

[Wed, 30 Mar 2011 10:06:55 GMT] [info] [<0.3481.0>] 127.0.0.1 - - 'GET' /global_node/second_doc_created_at_node2?open_revs=["1-3e923294d50112fdc024b43c0550e451"]&revs=true&latest=true&att_encoding_info=true 200

[Wed, 30 Mar 2011 10:07:00 GMT] [info] [<0.2518.0>] recording a checkpoint for http://127.0.0.1:5002/reg_node/ -> global_node at source update_seq 4

[Wed, 30 Mar 2011 10:07:00 GMT] [info] [<0.3482.0>] 127.0.0.1 - - 'POST' /global_node/_ensure_full_commit?seq=4 201

[Wed, 30 Mar 2011 10:07:00 GMT] [info] [<0.3494.0>] 127.0.0.1 - - 'PUT' /global_node/_local%2F54413037a7c66b9b1f1a6b3fb741453d 201

[Wed, 30 Mar 2011 10:07:00 GMT] [info] [<0.2555.0>] recording a checkpoint for http://127.0.0.1:5003/reg_node/ -> global_node at source update_seq 4

[Wed, 30 Mar 2011 10:08:20 GMT] [info] [<0.3495.0>] 127.0.0.1 - - 'PUT' /global_node/first_doc_created_at_global_node1 201

[Wed, 30 Mar 2011 10:08:20 GMT] [info] [<0.3580.0>] 127.0.0.1 - - 'GET' /global_node/first_doc_created_at_global_node1?open_revs=["1-75d9f53d6b7598c79c1a1571cfce28d6"]&revs=true&latest=true&att_encoding_info=true 200

[Wed, 30 Mar 2011 10:08:20 GMT] [info] [<0.3581.0>] 127.0.0.1 - - 'GET' /global_node/first_doc_created_at_global_node1?open_revs=["1-75d9f53d6b7598c79c1a1571cfce28d6"]&revs=true&latest=true&att_encoding_info=true 200

[Wed, 30 Mar 2011 10:08:25 GMT] [info] [<0.3582.0>] 127.0.0.1 - - 'POST' /global_node/_ensure_full_commit?seq=5 201

[Wed, 30 Mar 2011 10:08:25 GMT] [info] [<0.3592.0>] 127.0.0.1 - - 'PUT' /global_node/_local%2F54413037a7c66b9b1f1a6b3fb741453d 201

[Wed, 30 Mar 2011 10:08:25 GMT] [info] [<0.2518.0>] recording a checkpoint for http://127.0.0.1:5002/reg_node/ -> global_node at source update_seq 5

[Wed, 30 Mar 2011 10:08:25 GMT] [info] [<0.2555.0>] recording a checkpoint for http://127.0.0.1:5003/reg_node/ -> global_node at source update_seq 5

[Wed, 30 Mar 2011 10:09:30 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:30 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' /global_node/_all_docs?startkey=%22_design%2F%22&endkey=%22_design0%22&include_docs=true 200

[Wed, 30 Mar 2011 10:09:30 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:30 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:30 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' /_config/query_servers/ 200

[Wed, 30 Mar 2011 10:09:30 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' /global_node/_all_docs?limit=11 200

[Wed, 30 Mar 2011 10:09:30 GMT] [error] [<0.3668.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:30 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:30 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:30 GMT] [info] [<0.3668.0>] 127.0.0.1 - - 'GET' /_config/native_query_servers/ 200

[Wed, 30 Mar 2011 10:09:30 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' /_session 200

[Wed, 30 Mar 2011 10:09:30 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 10:09:53 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:53 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:53 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' /global_node/first_doc_created_at_node2?revs_info=true 200

[Wed, 30 Mar 2011 10:09:53 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:53 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:53 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' /_session 200

[Wed, 30 Mar 2011 10:09:53 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 10:09:59 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:09:59 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:15 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:15 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'PUT' /global_node/first_doc_created_at_node2 201

[Wed, 30 Mar 2011 10:10:15 GMT] [info] [<0.3669.0>] 127.0.0.1 - - 'GET' /global_node/first_doc_created_at_node2?open_revs=["2-e8b6036b1575ea9342690f6eeb10125a"]&revs=true&latest=true&att_encoding_info=true 200

[Wed, 30 Mar 2011 10:10:15 GMT] [info] [<0.3715.0>] 127.0.0.1 - - 'GET' /global_node/first_doc_created_at_node2?open_revs=["2-e8b6036b1575ea9342690f6eeb10125a"]&revs=true&latest=true&att_encoding_info=true 200

[Wed, 30 Mar 2011 10:10:15 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:15 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' /global_node/first_doc_created_at_node2?revs_info=true 200

[Wed, 30 Mar 2011 10:10:15 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:15 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' /_session 200

[Wed, 30 Mar 2011 10:10:15 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:15 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 10:10:18 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:18 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' /global_node/_all_docs?startkey=%22_design%2F%22&endkey=%22_design0%22&include_docs=true 200

[Wed, 30 Mar 2011 10:10:18 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:18 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:18 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' /_config/query_servers/ 200

[Wed, 30 Mar 2011 10:10:18 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' /global_node/_all_docs?limit=11 200

[Wed, 30 Mar 2011 10:10:18 GMT] [error] [<0.3593.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:18 GMT] [error] [<0.3667.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:18 GMT] [info] [<0.3593.0>] 127.0.0.1 - - 'GET' /_session 200

[Wed, 30 Mar 2011 10:10:18 GMT] [error] [<0.3716.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 10:10:18 GMT] [info] [<0.3667.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 10:10:18 GMT] [info] [<0.3716.0>] 127.0.0.1 - - 'GET' /_config/native_query_servers/ 200

